doc_number,outlet,headline,url,image
2025-225,Portland Tribune,City Council increases settlement to Black Portlanders displaced from Albina District,https://portlandtribune.com/2025/06/05/city-council-increases-settlement-to-black-portlanders-displaced-from-albina-district/,https://portlandtribune.com/wp-content/uploads/sites/20/2025/06/Albina-Residents-Picket-1973-FSDM2_1520790555270_36609699_ver1.0-1.jpg
2025-281,OPB,Portland councilors send 75% parks levy increase to November ballot,https://www.opb.org/article/2025/07/16/portland-councilors-75-percent-parks-levy-november-ballot/,https://opb-opb-prod.cdn.arcpublishing.com/resizer/v2/BGCI2TQO65BI3EIFOMQFZNSE7Q.JPG?auth=52c96a679d433721e3006c9aabe3d270727345d74236681207015e4e7f01a836&width=1200&height=675&smart=true
2025-207,Willamette Week,City Council Strikes Down Portland Children’s Levy Grants,https://www.wweek.com/news/city/2025/06/23/city-council-strikes-down-portland-childrens-levy-grants/,https://www.wweek.com/resizer/v2/C6IPZVRENFFJFEDQLKX7RZWTU4.jpg?smart=true&auth=ed58f5562d8625ff2c68351187ec239bcc7556a672cf36205618c4a3bf39a1d1&width=1200&height=630
2025-264,Willamette Week,"Amid Outcry, City Council Restores Portland Children’s Levy Grants Package",https://www.wweek.com/news/city/2025/06/25/amid-outcry-city-council-restores-portland-childrens-levy-grants-package/,https://www.wweek.com/resizer/v2/XXTNQRKXABCWPKPN4KNBYSYV3M.jpg?smart=true&auth=805ea934b4ae836083b569714529c5a01b784b9d71dd8245c1489bd59e54e41c&width=1200&height=630
2025-264,OPB,Portland City Council reverses vote to withhold nonprofit youth grant funds,https://www.opb.org/article/2025/06/25/portland-city-council-politics-children-levy-mentorship-programs-hunger-abuse-prevention/,https://opb-opb-prod.cdn.arcpublishing.com/resizer/v2/SO4AZ2BVH5ESHKZYRBI326I2TA.JPG?auth=348bea413f95e228ca0f557152e561475f02dda2fcff2ed41e5c093031cf5e43&width=1200&height=675&smart=true
2025-011,Willamette Week,City Council Confirms Appointment of City Administrator Michael Jordan,https://www.wweek.com/news/city/2025/02/06/city-council-confirms-appointment-of-city-administrator-michael-jordan/,https://www.wweek.com/resizer/v2/AV7Q57BEYZG7HI3UIEAVF35PHY.jpg?smart=true&auth=d9c83fe149e6dc181f5caf7a9dc0b94fed7e965ca7331cb9bd8e4b99ac7e5ab7&width=1200&height=630
2025-011,Portland Mercury,City Council Reluctantly Approves Mike Jordan’s Tenure as City Administrator Until 2026,https://www.portlandmercury.com/news/2025/02/07/47635332/city-council-reluctantly-approves-mike-jordans-tenure-as-city-administrator-until-2026,https://i0.wp.com/www.portlandmercury.com/wp-content/uploads/2025/02/jordan_city_hall_graphic.png.png?fit=926%2C956&ssl=1
2025-429,OPB,Portland City Council adopts new sanctions for detention facilities,https://www.opb.org/article/2025/12/03/portland-council-sanctions-detention-facilities/,https://opb-opb-prod.cdn.arcpublishing.com/resizer/v2/QQFOJBFGPBAJZAQHU67JYG5P5E.JPG?auth=d377837a7708ce963254891d48623a68d079c163bb9464cce32fa1699f436f26&width=1200&height=675&smart=true
2025-429,Portland Mercury,City Council Puts Financial Crackdown On Detention Facilities,https://www.portlandmercury.com/news/2025/12/03/48164583/city-council-puts-financial-crackdown-on-detention-facilities,https://i0.wp.com/www.portlandmercury.com/wp-content/uploads/2025/12/20251018-ice-water_bottle_1-photo_suzettesmith.webp.webp?fit=2000%2C1339&ssl=1
2025-429,KPTV,Portland City Council approves new fee for buildings used as detention facilities,https://www.kptv.com/2025/12/03/portland-city-council-approves-new-fee-buildings-used-detention-facilities/,https://gray-kptv-prod.gtv-cdn.com/resizer/v2/LQGUJDRVOVD5TFGMYXO2G5WVKE.png?auth=043ea7b07d4e0fa82024e1754e54e55df518592854e2704b8734d8b5c37a1a16&width=1200&height=600&smart=true
2026-039,Willamette Week,Council Passes Code Change Aimed at Quelling Sex Trafficking,https://www.wweek.com/news/city/2026/05/07/council-passes-code-change-aimed-at-quelling-sex-trafficking/,https://www.wweek.com/resizer/v2/MRFJ3NZBEJFS5PKWPNON7TUPRA.jpg?smart=true&auth=42aa6701e7be63b59b31bd5e2fa3344bac981017b8f7884a1cee0f15a4def778&width=1200&height=630
2026-039,KATU,Portland council approves 82nd Avenue nuisance code update aimed at trafficking and guns,https://katu.com/news/local/portland-council-steve-novick-approves-82nd-avenue-nuisance-code-update-aimed-at-sex-trafficking-and-guns-police-bureau,https://katu.com/resources/media2/16x9/5712/1320/0x23/90/6cc26983-0031-4c1f-9d9d-ac0fb3b7196f-nuisancecodecaptioned.jpg
2026-213,KATU,Portland’s no-right-on-red ordinance passes unanimously,https://katu.com/news/local/portland-city-council-no-right-on-red-ordinance-passes-unanimously-dangerous-intersections-bureau-transportation-councilor-loretta-smith,https://katu.com/resources/media2/16x9/1280/1320/center/90/19f9764b-2b83-42c8-b99f-7d96b4836162-NORIGHTONREDcaptioned3.jpg
2026-213,KGW,Portland drivers will be told not to turn right on red at some intersections,https://www.kgw.com/article/traffic/portland-city-council-vote-no-turning-right-on-red-intersections/283-7240858d-1bff-44b5-85a7-8019a2b2fc4c,
2025-430,KOIN,Organization behind Portland community center will acquire city-owned property for $1,https://www.koin.com/news/portland/organization-behind-portland-community-center-will-acquire-city-owned-property-for-1/,
2025-070,Street Roots,City Council demands mayor investigate Zenith Energy agreement,https://www.streetroots.org/news/2025/03/20/city-council-demands-mayor-investigate-zenith-energy-agreement,https://streetroots.newspackstaging.com/wp-content/uploads/2025/03/SR_Zenith-Resolution-credit-Jeremiah-Hayden-721.jpg
2025-070,KGW,Environmental groups cheer after Portland city council calls for Zenith Energy investigation,https://www.kgw.com/article/news/politics/portland-city-council-investigation-zenith-energy/283-c4787d98-4e68-44bb-9bc8-ebe4ede9acc4,
2025-212,KOIN,Portland housing crisis: City Council passes unified housing strategy resolution,https://www.koin.com/news/portland/tired-of-piecemeal-solutions-portland-city-council-adopts-unified-housing-strategy/,
2026-277,KATU,"Street takeover crackdowns get boost as city cites injuries, deaths and 12 homicides",https://katu.com/news/local/street-takeover-crackdowns-get-boost-as-city-cites-injuries-deaths-and-12-homicides,https://katu.com/resources/media2/16x9/1280/1320/center/90/7b4bdd02-500c-4496-b2ba-d44f52d33450-sotvoPPBSTREETRACING500.transfer_frame_3575.jpeg
2026-299,KATU,"Resolution urges Portland to avoid NDAs in data center deals, notify council of inquiries",https://katu.com/news/local/resolution-urges-city-to-avoid-ndas-in-data-center-deals-notify-council-of-inquiries,https://katu.com/resources/media2/16x9/1280/1320/center/90/45c15ec9-be2a-4b53-b5d0-44c9c75adc34-AfilephotoofadatacenterKATUNews.jpeg
